key,transcript,prediction
0,"Turret, prepare to deploy electromagnetic pulse. Heading zero six five, target is grey and white fighter jet. Engage when ready.",DON IT PREPARE TO DEPLOY ELECTROMAGNETIC PON HADING THEODO FIX FIVE DARGET ITH GREY AND WHITE WHITE JET AND GAVES WHEN READY
1,"Engage yellow drone with surface-to-air missiles, heading two three five.",A GAY YELLOW THRONG IN HERANATLE ERGNETHILE HEGING TTY FIVE
2,"Control to turrets, deploy electromagnetic pulse, heading one one zero. Engage blue and red fighter plane. Repeat, deploy EMP, heading one one zero, engage blue and red fighter aircraft. Over.",PATROL TATORIC ELOY CELLECTROMAGNETIC POLT HETDY ONE N BERO ET BLUE AND RED WHITE  RI  E BO   HETY ONE ONE BERO ET BLUE AND RED WHITE OR HAIRCRAFT OVER
3,"Alfa, Echo, Mike Papa, deploy EMP tool heading zero eight five, engage purple, red, and silver fighter jet.",ALPHA ECHO MIKE PAPA DEPLOY E IMPITUAL HEADING FELLOW EIGHT FIVE ENGAGE PURPLE RED AND SILVER FIGHTER JET
4,"Engage the grey, black, and green fighter plane with the machine gun, heading zero niner five.",AND GAVE THE GREEN PLAT AND GREEN PITE OR GREEN WITH THE HENGDON EDDING RU NINE O FIVE
5,"Air defense turret, lock onto target black and yellow missile at heading zero one five. Deploy EMP.",ED DEPENDET ON ET CLOCK ON THE DOGGED BLACK AND YELLOW MEPHILE AT EDDING RELO ONE POINT THE BLOY E M P
6,"Control, heading zero eight five, deploy electromagnetic pulse on the green, grey, and brown cargo aircraft target. Over.",CONTROL HAADING THRETWEIGHT FIVE DE PLORE ELECTROMAGNETIC PULC ON THE BRN BREE AND BROWN CARGO AIR PROFF TARGET OVER
7,"Control to air defense turrets, prepare to engage target at heading zero four five. Deploy anti-air artillery against white light aircraft. Execute with extreme precision and caution.",CONTROLLED AIR DEVENTUNI PREPAREDTIN GAGE TARGET AT HEADING VERO WOR FINE TEPLOY AND TE AIR ARTILLERY AGAINST WHITE LIGHT ERRA  EXECUTE WITH EXTREME PROFESSION AND CAUTION
8,"Control here, this is a priority alert. Deploy anti-air artillery to intercept the orange and blue light aircraft heading two one five. Execute immediately. Over.",CONTROL HERE TISS THE PRIORITY ALERT DEPLOY ANTI AIR ARTILLERY TO INTERCEPT THE ORANGE AND BLUE LIGHT AIR CROFD HEADING TWO ONE FIVE EXECUTE IMMEDIATELY OVER
9,"Control tower to air defense turrets, deploy anti-air artillery, heading three zero five, target black and white light aircraft.",CONTROL TOWER TO AIR DIFFINT TURRET DEPLOY AND P R ARTILLERY HEADING THREE THERO FIVE TARGET BLACK AND WHITE LIGHT AIRCRAFT
10,"Turret Bravo, engage the target, white, green, and silver cargo aircraft, heading zero five five with surface-to-air missiles. Prepare for launch.",DONNARD GRAVO ENGAGED THE TARGET WHITE GREEN AND SILVER CAGO AIRCRAFT WHEADING THERO FIVE FIVE WITH SILTEST AIR MESILE PREPARED FOR LAUNCH
11,"Control tower to air defense turrets, deploy surface-to-air missiles, heading three zero five, target yellow drone.",CONTROL TOWER TO EI DEFENSETARIF DECLOY SERFICE TO EIR METHIFE HEADING THREE LITTLE FIVE TARGET YELLOW DRON
12,"Rotate to heading two eight five, deploy machine gun, target the red and silver missile. Ready to engage.",ROTY TO LETIN TO I BOY THE BOY BEIN GONE TALK OF THE REDAN FELLOW BEFI BETTY TO WAKI
13,"Turret Delta, engage the white, silver, and red cargo aircraft with interceptor jets on heading one niner five.",TURRETELTA ENGAGED A WHITE PELVINE RADCAGO AIRCROFED WITH ECCEPTLIC CAT ON HEADING ONE NIGHT OF FIVE
14,"Tango, this is Tower. Engage black drone at heading two seven five with machine gun. Repeat, engage black drone at heading two seven five with machine gun. Over.",CAIGO IN  POWER A EIGT BLACK TRON AHETTY PCABA FIVE WITH SHE GON RAPEAT A EIGT BLACK TRON A ETT PULED HAB FIVE WIT ASHEGOOVER
15,Engage hostile silver and black fighter jet at heading two zero five. Deploy EMP immediately.,AND GAVE HOME TE SILVER AND BLACK VITE E JET AT HEADING TWO DE RO FIVE DE PLOY I M PI IMMEDIATELY
16,"Control tower to air defense turrets, deploy electromagnetic pulse on purple, orange, and red helicopter at heading two zero five.",CONTORTOR TO EID FANSTARIC DEPLY ELECTROMAGNETIC BOILS ON PURPUL ORANGE AND RED HELLICOPTER AT HEADING TWO  O FIVE
17,"Control to turrets, prepare to engage target at heading two four zero. Deploy anti-air artillery against the brown, grey, and white fighter plane. Take aim and fire at will. Over.",CONTROLLED THE TURRET PREPARED TO ENGAGE TARGET AT HEADING TWO FOR DERO DEPLOY ATTI AIR ARTILLERY AGAINST A BROWN GREY AND WHITE WHITER PLAIN TAKE AIM AND FIRE ATE WELN OVER
18,"Turret Mike, target yellow fighter plane at one niner five, engage with machine gun. Lock on and fire at will.",DON IT MIGHT DOLL GIVE YELLOW PITO PEIN THAT ONE NIGHT OF MINE INDEED AHANG DON LOCK ON AND FILE IT WELL
19,Deploy interceptor jets to intercept green commercial aircraft heading zero eight five.,DEPOINTO TEPEPLEGE TO IN TE FE PREN COMMOCIAL ET COAR PEADING FOR YOUR A POINT
20,"Turret Charlie, heading three three five, deploy electromagnetic pulse on orange, silver, and yellow cargo aircraft.",HORATORLY HEADING GREE GREE BIPE DEMPLOY ELECTROMAGNETIC POLT ON ORANGE SILVER AND YELLOW CARGO AIRCRAFT
21,Deploy interceptor jets to intercept an orange commercial aircraft heading three one five.,DEPLOY INTERCEPTED GANSTITTO SENT AN ORICO ORIO ADCRAFT ADDING EVRY ONE FIVE
22,"Bravo, engage with machine gun, heading two three zero, target black drone.",BRAVO AND GAVE THE SHE GO HEADING TO BRAVVERO TOGA BLOCK DROVE
23,"Turret Bravo, heading two three five, engage target red drone with machine gun.",THOUGHT IT PROBABLE HEDGEBOOL THE FIE AND GAVE TOT ETEK BOA LITLASHIN GUN
24,"Control to turrets, prepare to deploy electromagnetic pulse. Target is a grey camouflage cargo aircraft on heading three three five. Fire at will to neutralize the threat. Over.",CONTROL TO TURRET PREPARED TO DEPLOY THE ELECTROMAGNETIC PULM TARGET IS A GREAT CAMAVOGE CARGO AIRCRAFT ON HEADING GREEK REE BY BUYER AT WILL TO NEUTRALIZE THE THREAT OVER
