key,truth,prediction
0,"{'heading': '065', 'target': 'grey and white fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '065', 'tool': 'Engage', 'target': 'grey and white fighter jet'}"
1,"{'heading': '235', 'target': 'yellow drone', 'tool': 'surface-to-air missiles'}","{'heading': '235', 'tool': 'Engage yellow drone with surface-to-air missiles', 'target': 'Engage yellow drone with surface - to - air missiles'}"
2,"{'heading': '110', 'target': 'blue and red fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '110', 'tool': 'turrets', 'target': 'turrets'}"
3,"{'heading': '085', 'target': 'purple, red, and silver fighter jet', 'tool': 'EMP'}","{'heading': '085', 'tool': 'EMP tool', 'target': 'zero eight five, engage purple, red, and silver fighter jet'}"
4,"{'heading': '095', 'target': 'grey, black, and green fighter plane', 'tool': 'machine gun'}","{'heading': '05', 'tool': 'machine gun', 'target': ''}"
5,"{'heading': '015', 'target': 'black and yellow missile', 'tool': 'EMP'}","{'heading': '015', 'tool': 'Deploy EMP', 'target': 'black and yellow missile'}"
6,"{'heading': '085', 'target': 'green, grey, and brown cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '085', 'tool': 'electromagnetic pulse', 'target': 'cargo aircraft'}"
7,"{'heading': '045', 'target': 'white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '045', 'tool': 'air defense turrets, prepare to engage target at heading zero four five. Deploy anti-air artillery', 'target': 'white light aircraft'}"
8,"{'heading': '215', 'target': 'orange and blue light aircraft', 'tool': 'anti-air artillery'}","{'heading': '215', 'tool': 'anti-air artillery', 'target': 'orange and blue light aircraft'}"
9,"{'heading': '305', 'target': 'black and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '305', 'tool': 'Control tower to air defense turrets, deploy anti-air artillery', 'target': 'black and white light aircraft'}"
10,"{'heading': '055', 'target': 'white, green, and silver cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'Prepare for launch', 'target': 'Turret Bravo, engage the target, white, green, and silver cargo aircraft'}"
11,"{'heading': '305', 'target': 'yellow drone', 'tool': 'surface-to-air missiles'}","{'heading': '305', 'tool': 'Control tower to air defense turrets, deploy surface-to-air missiles, heading three zero five, target yellow drone', 'target': 'yellow drone'}"
12,"{'heading': '285', 'target': 'red and silver missile', 'tool': 'machine gun'}","{'heading': '285', 'tool': 'deploy machine gun', 'target': 'red and silver missile'}"
13,"{'heading': '195', 'target': 'white, silver, and red cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '15', 'tool': 'interceptor jets', 'target': 'Turret Delta'}"
14,"{'heading': '275', 'target': 'black drone', 'tool': 'machine gun'}","{'heading': '275', 'tool': 'Engage black drone at heading two seven five with machine gun', 'target': 'Tango'}"
15,"{'heading': '205', 'target': 'silver and black fighter jet', 'tool': 'EMP'}","{'heading': '205', 'tool': 'Deploy EMP', 'target': 'silver and black fighter jet'}"
